Login_id,password,role_id,t_title,t_name,t_middle_name,t_surname,e_title,e_name,e_middle_name,e_surname
65010001,123456,student,นาย,สมชาย,,ใจดี,Mr.,Somchai,,Jaidee
65010002,123456,student,นางสาว,สมหญิง,,รักดี,,,,
65010003,123456,student,นาย,วิชัย,,เก่งดี,,,,
INT001,123456,student,,,,,Mr.,John,Michael,Smith
INT002,123456,student,,,,,Ms.,Sarah,Jane,Johnson
INT003,123456,student,,,,,Mr.,David,,Brown
ADM001,admin123,admin,นาย,ผู้ดูแล,,ระบบ,Mr.,Admin,,System
TEA001,teacher123,courseInstructor,ผศ.ดร.,อาจารย์,,สอนดี,Asst. Prof. Dr.,Teacher,,Soondee
TEA002,teacher123,courseInstructor,รศ.ดร.,อาจารย์,,เก่งมาก,Assoc. Prof. Dr.,Professor,,Kengmak
STA001,staff123,staff,นาง,เจ้าหน้าที่,,ดีใจ,Mrs.,Staff,,Deejai
COM001,committee123,committee,ดร.,กรรมการ,,ตรวจสอบ,Dr.,Committee,,Truadsob
VIS001,visitor123,visitor,นาย,ผู้เยี่ยม,,ตรวจงาน,Mr.,Visitor,,Truadngan
